Variable,Importancia_RF,Importancia_DT
GPA_Last_Semester,0.2020259431846061,0.24068699832767812
Expected_GPA_Graduation,0.1265514637026471,0.10484943330013753
Reading_Freq_NonScientific,0.09893944493853207,0.10895860761275473
Project_Impact_Success,0.046809692367848,0.0993190293863901
Mother_Education,0.16372922827467704,0.13693126922679677
Student_Age,0.11299389589182139,0.09971697606690663
Sex,0.08087096643232812,0.08519932290270359
Scholarship_Type,0.16807936520754027,0.12433836317663252
